affiliates.brian.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 100.24.0.0/13
affiliates.playground.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 52.200.0.0/13
affiliates.qa.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
affiliates.test.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 100.24.0.0/13
affiliates.yakubu.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 100.24.0.0/13
api-gateway-load-test.apis-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
apis-recovery.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
apis.brian.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
apis.playground.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
apis.qa.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
apis.test.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
apis.yakubu.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
backend.brian.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
backend.playground.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 52.200.0.0/13
backend.qa.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
backend.test.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
backend.yakubu.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
be-okta.brian.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 52.72.0.0/15
be-okta.playground.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 54.90.0.0/15
be-okta.qa.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 52.72.0.0/15
be-okta.test.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 100.24.0.0/13
be-okta.yakubu.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 52.72.0.0/15
beta.apis-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
billing.brian.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
billing.playground.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 54.144.0.0/14
billing.qa.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
billing.test.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
billing.yakubu.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 23.22.0.0/15
fe-singapore-1.web-staging.xvtest.net AS16509 AS16509 - AMAZON.COM, INC. US 13.225.60.0/22
fe-singapore-2.web-staging.xvtest.net AS16509 AS16509 - AMAZON.COM, INC. US 13.225.208.0/21
frontend.brian.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
frontend.playground.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
frontend.qa.staging.backend-staging.xvtest.net AS14618 AS14618 - AMAZON.COM, INC. US 54.174.0.0/15
